Projektbeginn 24.01.2016;
Beginn;Dauer
;20000
;3184
;1202
;800
;5400
;14
;1495
;1925
;9
;625
;3472
;569
;585
;1601
;963
;154
;3916
;4701
;1980
;1265
;55
;4154
;86
;3156
;2387
;13191
;177
;4988
;749
;1171
;3353
;1834
;1857
;5912
;2276
;1802
;304
;80
;1476
;1200
;3112
;7545
;1024
;1397
;1004
;50
;542
;1003
;2440
;3954
;5406
;7966
;1395
;1231
;1619
;10561
;3490
;480
;261
;981
;822
;2698
;853
;3181
;1349
;1464
;2776
;2724
;2
;1170
;900
;1154
;3
;460
;1071
;6171
;1508
;702
;1525
;1303
;1213
;1443
;1000
;1660
;407
;4444
;1077
;2351
;955
;1465
;2207
;3
;10907
;191
;6843
;674
;2772
;507
;4216
;2484
;1626
;6000
;4753
;2510
;936
;2646
;2674
;1429
;861
;2197
;3600
;1663
;1478
;828
;7532
;25
;1632
;876
;7958
;363
;2992
;5172
;4611
;2410
;8572
;13702
11.3.2019 23:14;3338
13.3.2019 21:48;681
13.3.2019 22:54;2378
20.3.2019 23:21;4327
12.4.2019 20:53;1000
12.4.2019 22:10;1582
13.4.2019 17:0;382
14.4.2019 8:58;3621
20.4.2019 8:48;1658
22.4.2019 11:56;2382
22.4.2019 13:14;775
23.4.2019 22:24;1920
4.5.2019 9:8;4692
4.5.2019 11:2;385
5.5.2019 12:55;2031
6.5.2019 21:5;1171
11.5.2019 8:9;329
11.5.2019 8:20;4042
11.5.2019 13:37;1940
21.5.2019 23:28;591
26.5.2019 8:32;2852
26.5.2019 9:23;1547
26.5.2019 10:5;6
26.5.2019 10:7;3889
26.5.2019 18:26;1725
30.5.2019 9:20;1699
1.6.2019 0:15;264
1.6.2019 16:54;623
2.6.2019 10:41;414
2.6.2019 10:59;638
2.6.2019 12:8;123
2.6.2019 12:34;64
2.6.2019 12:49;182
2.6.2019 13:0;161
2.6.2019 13:9;269
2.6.2019 13:28;299
2.6.2019 13:42;346
2.6.2019 14:0;291
2.6.2019 14:57;1235
5.6.2019 19:56;970
5.6.2019 23:12;1349
6.6.2019 7:23;1297
6.6.2019 7:47;332
10.6.2019 8:33;2087
10.6.2019 20:26;95
10.6.2019 20:32;797
12.6.2019 8:15;1880
12.6.2019 13:13;790
12.6.2019 15:9;896
12.6.2019 16:56;1973
13.6.2019 13:17;2104
14.6.2019 9:58;1019
16.6.2019 10:0;499
16.6.2019 10:17;191
16.6.2019 11:40;4350
16.6.2019 23:57;2137
17.6.2019 23:22;1661
18.6.2019 23:30;1459
20.6.2019 16:43;2190
20.6.2019 18:38;2775
21.6.2019 7:27;8092
21.6.2019 10:17;1428
21.6.2019 16:2;3007
21.6.2019 16:53;358
22.6.2019 6:55;3309
22.6.2019 8:1;5309
22.6.2019 9:35;701
22.6.2019 10:8;4388
23.6.2019 12:14;2192
23.6.2019 21:11;4190
24.6.2019 21:19;5718
25.6.2019 21:6;2373
26.6.2019 7:16;2251
27.6.2019 21:39;2723
29.6.2019 9:49;3907
29.6.2019 11:24;805
29.6.2019 22:22;3768
30.6.2019 6:14;3658
30.6.2019 15:17;3582
1.7.2019 21:18;2770
2.7.2019 19:7;3246
3.7.2019 22:30;1462
5.7.2019 6:29;963
5.7.2019 21:52;3372
6.7.2019 7:31;3408
6.7.2019 22:00;3600
7.7.2019 10:17;5741
7.7.2019 12:25;690
9.7.2019 21:15;1682
13.7.2019 14:45;325
13.7.2019 15:0;400
13.7.2019 16:45;4536
14.7.2019 18:59;674
14.7.2019 19:17;2504
15.7.2019 16:7;5372
17.7.2019 21:50;2013
3.8.2019 14:46;2675
13.8.2019 7:41;3570
13.8.2019 22:42;74
13.8.2019 22:47;499
14.8.2019 7:16;2656
15.8.2019 9:19;3508
15.8.2019 13:1;2250
18.8.2019 11:58;1793
18.8.2019 18:18;4113
25.8.2019 14:13;3694
25.8.2019 22:8;4258
26.8.2019 19:59;331
31.8.2019 10:32;979
1.9.2019 8:00;7200
3.9.2019 23:16;430
5.9.2019 23:24;1121
6.9.2019 17:7;1025
7.9.2019 15:8;1577
7.9.2019 16:37;4624
8.9.2019 9:25;2758
8.9.2019 10:13;279
8.9.2019 13:28;52
8.9.2019 13:36;3753
8.9.2019 21:15;1626
8.9.2019 23:2;3035
9.9.2019 22:27;4765
10.9.2019 22:19;4880
17.9.2019 22:29;2269
22.9.2019 17:19;563
23.9.2019 23:6;2613
24.9.2019 0:2;146
24.9.2019 21:31;4087
25.9.2019 19:39;1787
25.9.2019 22:29;1659
26.9.2019 19:52;743
26.9.2019 22:35;406
26.9.2019 22:46;1432
29.9.2019 13:58;1091
29.9.2019 19:52;1163
3.10.2019 8:2;1880
3.10.2019 8:36;377
3.10.2019 8:50;2141
3.10.2019 9:46;918
3.10.2019 19:27;2264
3.10.2019 20:57;4656
6.10.2019 10:34;838
8.10.2019 21:36;29
8.10.2019 21:37;5272
10.10.2019 6:12;4349
10.10.2019 7:33;370
12.10.2019 7:24;32
12.10.2019 7:37;5305
13.10.2019 10:23;5306
13.10.2019 12:0;2784
17.10.2019 19:24;2352
18.10.2019 19:22;817
19.10.2019 17:59;1982
19.10.2019 18:50;3454
19.10.2019 21:23;304
20.10.2019 11:10;3645
24.10.2019 18:56;2165
25.10.2019 17:5;651
25.10.2019 19:50;1103
26.10.2019 11:35;258
26.10.2019 12:29;3557
27.10.2019 8:42;2596
1.11.2019 12:40;2059
3.11.2019 19:50;726
10.11.2019 11:46;5225
14.11.2019 21:8;1032
16.11.2019 10:59;21
16.11.2019 11:16;2022
18.11.2019 19:56;730
20.11.2019 19:38;1278
23.11.2019 8:12;15
23.11.2019 8:13;6508
8.12.2019 11:21;3298
8.12.2019 14:3;1841
13.12.2019 20:52;557
15.12.2019 11:3;2288
16.12.2019 23:13;2281
25.12.2019 12:43;2160
27.12.2019 12:11;4361
27.12.2019 20:2;3513
28.12.2019 11:30;1500
30.12.2019 9:36;6312
31.12.2019 11:22;3208
31.12.2019 12:21;2061
31.12.2019 13:56;25
31.12.2019 15:33;5142
2.1.2020 15:39;6804
3.1.2020 12:8;3846
3.1.2020 14:53;1098
3.1.2020 20:11;3060
5.1.2020 8:36;2479
5.1.2020 9:31;3978
5.1.2020 19:20;3246
6.1.2020 16:50;3685
11.1.2020 14:47;2170
12.1.2020 8:53;1098
12.1.2020 9:18;2547
12.1.2020 20:58;1205
18.1.2020 10:42;2
31.1.2020 8:41;6235
1.2.2020 10:15;3012
2.2.2020 11:0;3010
9.2.2020 9:15;133
9.2.2020 9:22;4500
9.2.2020 11:24;10327
16.2.2020 12:25;1397
16.2.2020 17:30;2372
17.2.2020 19:19;2510
10.3.2020 19:30;1796
15.3.2020 9:59;6408
16.4.2020 11:13;1291
3.5.2020 10:26;3127
10.5.2020 8:34;7485
10.5.2020 11:17;3685
11.5.2020 20:47;891
15.5.2020 20:37;3481
16.5.2020 8:18;4750
16.5.2020 9:48;709
17.5.2020 8:57;3329
24.5.2020 9:9;701
24.5.2020 9:32;4123
24.5.2020 11:0;4727
24.5.2020 12:22;1491
24.5.2020 22:0;3223
26.5.2020 20:24;869
6.6.2020 11:48;2573
7.6.2020 8:46;4004
8.6.2020 20:3;915
10.6.2020 7:13;1690
17.6.2020 20:8;2718
24.6.2020 19:16;4969
25.6.2020 21:46;897
28.6.2020 13:49;21
28.6.2020 13:49;3259
28.6.2020 20:31;1869
30.6.2020 22:4;3843
2.7.2020 20:13;2050
3.7.2020 6:52;2895
10.7.2020 7:8;1275
18.7.2020 8:53;6374
18.7.2020 12:42;1775
19.7.2020 8:20;960
19.7.2020 8:45;525
28.7.2020 19:29;677
29.7.2020 20:41;2495
1.8.2020 9:35;1521
1.8.2020 10:42;234
2.8.2020 11:8;3109
2.8.2020 12:1;2487
2.8.2020 12:47;4766
2.8.2020 14:18;2971
3.8.2020 22:11;3319
13.8.2020 19:25;242
21.8.2020 22:24;3600
23.8.2020 10:35;6256
26.8.2020 20:12;1579
28.8.2020 20:15;3136
29.8.2020 13:37;4178
3.9.2020 12:52;2673
6.9.2020 12:29;3065
6.9.2020 13:26;1802
6.9.2020 19:44;1610
7.9.2020 19:8;4356
11.9.2020 10:45;2097
12.9.2020 8:43;1012
12.9.2020 9:3;656
12.9.2020 9:25;6086
12.9.2020 11:30;2700
13.9.2020 10:36;404;
20.9.2020 9:3;3666;
20.9.2020 11:8;5350;
1.10.2020 7:28;1411;
4.10.2020 8:55;1502;
